id;longuer;largeur;duree_validite;date_creation;date_fin;matricule_cart
1;94555;13513;55538;2022-03-28;2022-03-28;Keyboard c
2;85520;67478;33752;2022-03-27;2022-03-28;testing Re-contextualized
3;71670;81020;79136;2022-03-28;2022-03-28;sexy Languedoc-Roussillon Manager
4;86785;22256;65452;2022-03-28;2022-03-27;Ergonomic Bretagne Dollar
5;82660;92682;4223;2022-03-27;2022-03-27;Ukraine dynamic
6;97248;5052;93606;2022-03-28;2022-03-27;Loan
7;66076;74713;18431;2022-03-27;2022-03-28;b
8;4280;84581;71198;2022-03-28;2022-03-27;overriding Metal la
9;12340;65383;44401;2022-03-28;2022-03-28;Administrateur payment initiatives
10;94665;57206;38833;2022-03-27;2022-03-28;Vaneau FTP morph
